city_id,country_name_oa,country_name_wb,iso_code,iso_country_3,city_lat,city_lon,city_pop,city_tier,city_name,city_avg_temp,city_max_temp,nearest_airport_type,nearest_airport_name,nearest_airport_ident,dist_to_nearest_airport_km,nearest_airport_lat,nearest_airport_lon,nearest_airport_elev_m,nearest_runway_length_m,nearest_runway_width_m,nearest_runway_area_km2,country_GDP($b),country_GDPcap($000s),country_pop(m),country_popden_persqkm,air_passengers(m)
1897122,South Korea,"Korea, Rep.",KR,KOR,37.63667,127.21417,90798,Tier 4,Namyangju,12.895833,30.25,large_airport,Gimpo International Airport,RKSS,38.28681142874144,37.5583,126.791,17.9832,3200.0952,60.0456,0.19215163634112,1844.80093439154,35.674095995632,51.712619,529.842407786885,76.272453877
893697,Zimbabwe,Zimbabwe,ZW,ZWE,-17.36667,30.2,90800,Tier 4,Chinhoyi,20.395834,32.0,small_airport,Charles Prince Airport,FVCP,87.94648065770392,-17.7516,30.9247,1476.756,1199.9976000000001,17.0688,0.020482519034880003,35.8717796806335,2.19522492079245,16.340822,42.24071862479,0.092494376
361473,Egypt,"Egypt, Arab Rep.",EG,EGY,29.85,31.26667,90833,Tier 4,Al Badrashayn,23.354166,37.0,large_airport,Cairo International Airport,HECA,31.663149670677374,30.111534,31.396694,98.1456,4000.1952,60.0456,0.24019412090112002,395.926075163006,3.45678968456253,114.535772,115.059291777588,16.672111301999998
1308937,Myanmar,Myanmar,MM,MMR,22.91766,96.50982,90843,Tier 4,Mogok,19.552084,29.75,medium_airport,Momeik Airport,VYMO,23.880020163528474,23.092500686645508,96.64530181884766,182.88,1370.9904000000001,31.0896,0.04262354313984,66.757619,1.23319666209269,54.133798,82.9420656687147,3.541244
1785777,China,China,CN,CHN,38.29181,109.73753,90870,Tier 4,Yulinshi,10.166667,32.0,medium_airport,Yulin Yuyang Airport,ZLYL,14.850928824725901,38.35971,109.590927,1185.9768000000001,2799.8928,45.110400000000006,0.12630428416512002,18270.3566545332,12.951178239704301,1410.71,150.264001337848,619.215886
1327659,Myanmar,Myanmar,MM,MMR,20.89921,94.81784,90870,Tier 4,Chauk,28.0,40.0,small_airport,Bagan Airport,VYBG,33.20397572609836,21.178800582885746,94.9301986694336,95.0976,2590.8,30.48,0.07896758400000001,66.757619,1.23319666209269,54.133798,82.9420656687147,3.541244
10375044,Morocco,Morocco,MA,MAR,30.29759,-9.46597,90890,Tier 4,Lqoliaa,21.4375,32.75,large_airport,Al Massira Airport,GMAD,5.8734184687283655,30.322478,-9.412003,76.2,3200.0952,45.110400000000006,0.14435757451008005,146.03609366676199,3.81372607421875,37.712505,84.5003473000224,9.354197
1307741,Myanmar,Myanmar,MM,MMR,25.38327,97.39637,90894,Tier 4,Myitkyina,25.552084,35.0,medium_airport,Myitkyina Airport,VYMK,4.467811649367982,25.3836,97.351898,144.78,1859.2800000000002,30.48,0.056670854400000005,66.757619,1.23319666209269,54.133798,82.9420656687147,3.541244
741855,Turkey,Turkiye,TR,TUR,41.40173,27.35746,90899,Tier 4,Lüleburgaz,16.135416,34.0,medium_airport,Tekirdağ Çorlu Airport,LTBU,55.33489601140137,41.138199,27.9191,174.95520000000002,3000.4512,45.110400000000006,0.13535155381248,1141.24286465745,13.3750947282864,85.325965,110.866214934449,125.940241
1810309,China,China,CN,CHN,32.78933,119.44182,90911,Tier 4,Gaoyou,16.677084,32.25,medium_airport,Yangzhou Taizhou Airport,ZSYA,36.167113593775674,32.5634,119.7198,2.1336,3200.0952,45.110400000000006,0.14435757451008005,18270.3566545332,12.951178239704301,1410.71,150.264001337848,619.215886
1002851,South Africa,South Africa,ZA,ZAF,-25.61692,27.99471,90945,Tier 4,Ga-Rankuwa,19.697916,31.75,small_airport,Aviators Paradise Field,ZA-0105,22.8712751332657,-25.692875,27.782657,1158.24,749.808,10.0584,0.0075418687872,381.440724491232,6.03427208964673,63.212384,52.1085690262058,15.454595698999999
2160517,Australia,Australia,AU,AUS,-41.43876,147.13467,90953,Tier 4,Launceston,13.25,24.25,medium_airport,Launceston Airport,YMLT,13.400588068514049,-41.544935,147.210785,171.29760000000002,1980.8952000000002,45.110400000000006,0.08935897483008001,1734.4512646556002,65.0583773146674,26.659922,3.46591948538875,68.958577
536398,Russia,Russian Federation,RU,RUS,55.76667,37.7,91000,Tier 4,Lefortovo,6.8854165,24.25,medium_airport,Chkalovskiy Air Base,UUMU,25.77858582818089,55.8783,38.061699,152.0952,3599.9928,96.012,0.34564250871359997,2071.50572503058,14.1593876953125,143.82613,8.78227219242749,98.872628
530088,Russia,Russian Federation,RU,RUS,55.88333,37.71667,91000,Tier 4,Yaroslavskiy,6.71875,24.0,medium_airport,Chkalovskiy Air Base,UUMU,21.5270621278258,55.8783,38.061699,152.0952,3599.9928,96.012,0.34564250871359997,2071.50572503058,14.1593876953125,143.82613,8.78227219242749,98.872628
2875107,Germany,Germany,DE,DEU,51.61634,7.52872,91009,Tier 4,Lünen,11.791667,26.0,large_airport,Dortmund Airport,EDLW,12.335753813819336,51.518299,7.61224,129.54000000000002,2000.0976,45.110400000000006,0.09022520277504002,4562.20753249028,54.7767668235491,83.287273,238.351810090719,80.199572
6087701,Canada,Canada,CA,CAN,44.05011,-79.46631,91034,Tier 4,Newmarket,8.416667,26.25,large_airport,Toronto Pearson International Airport,CYYZ,43.61296293949393,43.675935,-79.629421,173.43120000000002,3389.376,60.96,0.20661636096000002,2173.33967006433,54.220328503987496,40.083484,4.56079784268436,88.618
303827,Turkey,Turkiye,TR,TUR,37.96583,34.67935,91039,Tier 4,Niğde,11.75,32.25,large_airport,Nevşehir Kapadokya Airport,LTAZ,90.51606235973837,38.7719,34.5345,944.88,2999.8416,45.110400000000006,0.13532405451264,1141.24286465745,13.3750947282864,85.325965,110.866214934449,125.940241
143921,Iran,"Iran, Islamic Rep.",IR,IRN,33.404,49.69179,91041,Tier 4,Alīgūdarz,14.270833,36.75,small_airport,Arak Airport,OIHR,82.884107767542,34.1381,49.847301,1658.112,2990.3928,45.110400000000006,0.13489781536512002,457.51048231748297,5.049299316427541,90.608707,55.8451198767334,18.067403
1019704,South Africa,South Africa,ZA,ZAF,-28.23078,28.30707,91075,Tier 4,Bethlehem,15.145833,28.0,medium_airport,Ficksburg Sentraoes Airport,FAFB,76.49214613761339,-28.82309913635254,27.908899307250977,1620.0120000000002,1399.9464,14.9352,0.02090847947328,381.440724491232,6.03427208964673,63.212384,52.1085690262058,15.454595698999999
3467978,Brazil,Brazil,BR,BRA,-23.27583,-51.27833,91080,Tier 4,Cambé,21.708334,31.0,medium_airport,Governor José Richa Airport,SBLO,16.64099441721328,-23.334375,-51.128365,569.0616,2100.072,45.110400000000006,0.09473508794880002,2191.13186970602,10.3775897719195,211.140729,25.2616884857157,95.398485
175555,Zambia,Zambia,ZM,ZMB,-9.34213,32.745,91107,Tier 4,Nakonde,21.28125,31.0,small_airport,East Five Airport,FLEE,151.51955791616265,-10.539075,33.406194,1280.16,1321.8940231812576,29.8704,0.039485503230033435,27.577956471244,1.3307278057670902,20.723965,27.8776483407095,0.321738797
6822199,Japan,Japan,JP,JPN,39.44116,140.48961,91143,Tier 4,Daisen,12.8125,32.0,medium_airport,Akita Airport,RJSK,30.247714920229853,39.615601,140.218994,95.4024,2499.36,60.96,0.15236098560000003,4213.16723790583,33.8361756271617,124.51665,341.54455749932,120.305972
360773,Egypt,"Egypt, Arab Rep.",EG,EGY,26.4775,31.80394,91149,Tier 4,Al Minshāh,25.125,40.0,large_airport,Sohag International Airport,HESG,16.189559726010124,26.342515,31.743017,98.1456,3000.1464,45.110400000000006,0.13533780416256003,395.926075163006,3.45678968456253,114.535772,115.059291777588,16.672111301999998
